 ,GENG-B,Title,Country.x,Country.y,DocDate,InForce,End,GEN.ID,IEA,ECOLEX,James,Xiaolei,Frederic,Google in English,Download Treaty,Amended by,Suspended by,Amends,Supersedes,Lineage,Sequence,Secretariat,Website,AdoptPlace,FullText,DocLangs,Keywords,Data,Articles..etc.,Issue,enabledByTreaty,searchDate,obsolete,abstract,region,subject,officialPublication,Form,Type,Mutuality,Subject,Target,Species,Area
?,GENG-1250,Agreement On Mineral And Energy Matters Relating To Walvis Bay,NAM,ZAF,1994-03-04,1994-03-04,NA,,IEA-1260,NA,,Not clear whether still in force under http://196.14.41.167/dbtw-wpd/exec/dbtwpub.dll?AC=GET_RECORD&XC=/dbtw-wpd/exec/dbtwpub.dll&BU=http%3A%2F%2F196.14.41.167%2Fdbtw-wpd%2Ftextbase%2Fsearchhome.html&TN=Treatyweb&SN=AUTO13710&SE=791&RN=26&MR=20&TR=0&TX=1000&ES=0&CS=1&XP=&RF=Selective+list+print&EF=&DF=Web+full+record&RL=0&EL=0&DL=0&NP=2&ID=&MF=&MQ=&TI=0&DT=&ST=0&IR=746&NR=0&NB=1&SV=0&SS=1&BG=ffffff&FG=000000&QS=Treatywebsearch&OEX=ISO-8859-1&OEH=ISO-8859-1 | not listed under UNTC,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520On%2520Mineral%2520And%2520Energy%2520Matters%2520Relating%2520To%2520Walvis%2520Bay%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YjrnHqgUiGQDxp4NLue0pr53OqKQXhq9wjL3IGEKhWa0,Yes,,,,,,NA,,,,,,,,,ENERGY,,,,,,,,,,,,,,
?,GENG-2227,"Agreement to Establish a Commission for the Koma-Dogou-Yobe. 3 March, 1971",NER,NGA,1971-03-03,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2227 by Frederic in subject area Water from International Freshwater Treaties Database,,No,GENG-2164,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-2164,"Protocol to the Agreement to Establish a Commission for the Koma-Dogou-Yobe. 22 December, 1973",NER,NGA,1973-12-22,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2164 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,GENG-2227,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-1084,"Agreement Between The Federal Republic Of Nigeria And The Republic Of Niger Concerning The Equitable Sharing In The Development, Conservation And Use Of Their Common Water Resources",NER,NGA,1990-07-18,NA,NA,,IEA-766,TRE-152355,,,No end date listed in treaty text | Not listed in UN Treaty Collection | Listed in International Freshwater Treaty Database,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520Between%2520The%2520Federal%2520Republic%2520Of%2520Nigeria%2520And%2520The%2520Republic%2520Of%2520Niger%2520Concerning%2520The%2520Equitable%2520Sharing%2520In%2520The%2520Development%252C%2520Conservation%2520And%2520Use%2520Of%2520Their%2520Common%2520Water%2520Resources%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yj7nHqgUiGQDxp4NLi0pQA5usKj9SMlnxR5jiyk-4fyg,Yes,,,,,Not Yet Assigned,100,No known secretariat,NA,Maiduguri,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-152355.pdf,English,international agreement-text | inland waters | catchment/watershed | international basin institution | dispute settlement | court/tribunal | basin | water rights,NA,NA,Water,NA,18/7/1990,FALSE,"The Agreement regulates the equitable development, conservation and use of the water resources in the shared river basins. Shared river basins means ""basins which are bi-sected by, or form, the common frontier between the Contracting Parties"". Each shared river basin is indicated in article 2 of the Agreement and is defined by reference to the maps annexed thereto. Factors to be taken into account in determining the equitable share to which each Contracting Party is entitled are listed in article 5. They include among others: (a) the climate of the region, and its influence on rainfall patterns; (b) surface hydrology and related hydro-geology; (c) existing uses of the waters; (d) reasonable planned water development requirements; (e) the economic and social development needs of the Contracting Parties; (f) the technological and financial capabilities of each Contracting Party; (g) the proportion in which each Contracting Party contributes to the water balance of the basin. The implementation of the Agreement shall be monitored by the Nigeria-Niger Joint Commission for cooperation. Article 12 concerns the establishment of the Permanent Technical Committee of Water Experts which shall: (a) prepare equitable sharing schemes; (b) monitor the performance of agreed upon equitable sharing schemes; (c) recommend to the Commission appropriate measures to be taken in emergency situations; (d) advise the Commission on the interpretation and implementation of equitable sharing determinations . The settlement of disputes shall be performed by the Niger-Nigeria Joint Commission or through the Commission of Mediation, Conciliation and Arbitration of the Organization of African Unity.",,Water,,,,,,,,
%,GENG-1570,"Treaty between the Federal Republic of Nigeria and the Democratic Republic of Sao Tome and Principe on the Joint Development of Petroleum and other Resources, in respect of Areas of the Exclusive Economic Zone of the Two States",NGA,STP,2001-02-21,2001-02-21,NA,GFG-980,NA,TRE-150132,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/NGA.htm,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520the%2520Federal%2520Republic%2520of%2520Nigeria%2520and%2520the%2520Democratic%2520Republic%2520of%2520Sao%2520Tome%2520and%2520Principe%2520on%2520the%2520Joint%2520Development%2520of%2520Petroleum%2520and%2520other%2520Resources%252C%2520in%2520respect%2520of%2520Areas%2520of%2520the%2520Exclusive%2520Economic%2520Zone%2520of%2520the%2520Two%2520States%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YkLnHqgUiGQDxp4NLV94XzH1h-T5a1SmDPDSsQmCsFic,No,,,,,,NA,,http://www.un.org,Abuja,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-150132.pdf,English,marine fisheries|maritime zone|mining|oil|exploration|marine pollution|oil pollution,,,Fisheries|Ocean,NA,21/2/2001,FALSE,"This Agreement provides for the joint development by Nigeria and Sao Tome and Principe of petroleum resources in the joint development zone established by this Agreement. For this purpose, a Joint Ministerial Council for the Zone and a Joint Authority is established. The Council shall have overall responsibility for all matters relating to the exploration for and exploitation of the resources in the Zone and shall have other functions specified in Article 8 and as the States Parties may entrust to it. As soon as practicable following the entry into force of this Treaty, the Authority shall prepare an initial Zone Plan in accordance with the principles set out in Article 3, so as to establish ways in which the resources of the Zone may be developed in an efficient, economical and expeditious manner. The Authority shall take all reasonable steps to ensure that development activities in the Zone do not cause or create any appreciable risk of causing pollution or other harm to the marine environment. The petroleum and other resources of the Zone shall be exploited efficiently in accordance with this Treaty, having due regard to the protection of the marine environment, and in a manner consistent with generally accepted good oilfield and fisheries practice.",Africa | Western Africa | North Atlantic | Central Africa,Sea | Fisheries | Mineral resources,,Treaty,Agreement,,Fisheries Cooperation,Straddling,Fish,Straddling
?,GENG-1738,Agreement on the establishment of the Joint Committee between Syria and Nigeria ratified by Decree No. 422 of 21 October 2007,NGA,SYR,2006-12-10,NA,NA,,NA,TRE-151482,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520on%2520the%2520establishment%2520of%2520the%2520Joint%2520Committee%2520between%2520Syria%2520and%2520Nigeria%2520ratified%2520by%2520Decree%2520No.%2520422%2520of%252021%2520October%25202007%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YkLnHqgUiGQDxp4NLV94XzH1h-T5a1SmDPDSsQmCsFic,Yes,,,,,NA,NA,NA,NA,Damascus,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151482.pdf,Arabic,international agreement-text | agricultural development | oil,NA,NA,Water|Energy,NA,10/12/2006,FALSE,"This Agreement is composed of 11 articles. Articles 1 and 2 deal with the establishment of the Joint Committee and defines its objectives which aim at the development and reinforcement of the cooperation in environment, water resources, rural, agriculture affairs, petroleum, energy, industry, commerce and technical services. Articles 3 and 6 pertain to the management, meetings, decisions, secretariat and branches of the Committee. Articles 7 to 11 provide for the following matters: entry into force of the Agreement; dispute settlement; amendments; validity and termination; and, obligations.",,Water | Energy | Environment gen. | Agriculture,"Official Gazette No. 47, 14 November 2007, 3 pp.",,,,,,,
%,GENG-1531,"Agreement On Cooperation In The Fields Of Mining, Geology, Exploration And Beneficiation Of Minerals And Energy",NGA,ZAF,2000-04-29,NA,NA,,IEA-1257,NA,,Still in force | Listed under https://treaties.un.org/doc/Publication/UNTS/Volume%202598/v2598.pdf,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520On%2520Cooperation%2520In%2520The%2520Fields%2520Of%2520Mining%252C%2520Geology%252C%2520Exploration%2520And%2520Beneficiation%2520Of%2520Minerals%2520And%2520Energy%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YkbnHqgUiGQDxp4NLhpQlxQ9nxW8tmrttsi3hZFISg48,Yes,,,,,,NA,,,,,,,,,ENERGY,,,,,,,,,,,,,,
?,GENG-1747,Acuerdo sobre Cooperación en el sector energético entre el Gobierno de la República Bolivariana de Venezuela y el Gobierno de la República de Nicaragua ,NIC,VEN,2007-01-11,NA,NA,,NA,TRE-151281,,Not listed in UN Treaty Collection,No end date listed in treaty text,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DNA%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YkbnHqgUiGQDxp4NLhpQlxQ9nxW8tmrttsi3hZFISg48,Yes,,,,,,NA,,www.tsj.gov.ve,Managua,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-151281.pdf,Spanish,international agreement-implementation | energy conservation/energy production | oil | natural gas,,,ENERGY,NA,11/1/2007,false,NA,,Energy,"Gaceta Oficial NÂº 38.796, 25 de octubre de 2007 (Venezuela).",,,,,,,
%,GENG-1400,Treaty Between the Government of the United States of America and the Government of Niue on the Delimitation of a Maritime Boundary,NIU,USA,1997-05-13,1997-05-13,NA,,NA,TRE-148696,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/NIU.htm,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520Between%2520the%2520Government%2520of%2520the%2520United%2520States%2520of%2520America%2520and%2520the%2520Government%2520of%2520Niue%2520on%2520the%2520Delimitation%2520of%2520a%2520Maritime%2520Boundary%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YkrnHqgUiGQDxp4NLYiktSQ6ThUa33MGs-liGjmh-9Ag,No,,,,,NA,NA,NA,NA,Wellington,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-148696.htm,English,international agreement-text | maritime zone | dispute settlement,NA,NA,OCEAN,NA,13/5/1997,FALSE,"This Treaty determines the maritime boundary between American Samoa and Niue, and consistent with the Territorial Sea and Exclusive Economic Zone Act 1997 fulfils the international obligations set by the United Nations Convention on the Law of the Sea 1984 to establish maritime borders. The maritime boundary between American Samoa and Niue shall be determined by geodesics connecting the co-ordinates set out in Article III. On the side of the maritime boundary adjacent to the United States of America, the Government of Niue shall not, and on the side of the maritime boundary adjacent to Niue, the Government of the United States of America shall not, claim or exercise for any purpose sovereignty, sovereign rights, or jurisdiction with respect to the waters or seabed or subsoil. The maritime boundary established by this treaty shall not affect or prejudice in any manner either party's position with respect to the rules of international law relating to the law of the sea, including those concerned with the exercise of sovereignty, sovereign rights, or jurisdiction with respect to the waters or seabed or subsoil. Any dispute concerning the interpretation or application of this agreement shall be resolved by negotiation or other peaceful means as may be agreed upon by the Parties. (7 articles)",,Sea,,,,,,,,
?,GENG-845,Agreement Between The Government Of Portugal And The Government Of Netherlands Concerning The Cooperation In The Agricultural And Water Sectors,NLD,PRT,1980-08-08,NA,NA,,IEA-599,TRE-148564,,Not found in Netherlands treaty database under https://verdragenbank.overheid.nl/en/Verdrag/ZoekUitgebreid,No specific end date stated in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520Between%2520The%2520Government%2520Of%2520Portugal%2520And%2520The%2520Government%2520Of%2520Netherlands%2520Concerning%2520The%2520Cooperation%2520In%2520The%2520Agricultural%2520And%2520Water%2520Sectors%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YkrnHqgUiGQDxp4NLYiktSQ6ThUa33MGs-liGjmh-9Ag,Yes,,,,,Not Yet Assigned,100,No known secretariat,NA,NA,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-148564.doc,English,international agreement-text | agricultural land | agricultural development | irrigation,NA,NA,WATER,NA,8/8/1980,FALSE,"An Agreement concerning technical cooperation (between the two Ministries of Agriculture of the Government of Portugal and the Government of Netherlands) in the field of water and agriculture (irrigation, soil chartography, soil use, rural infrastructures, land rational use, etc.). It consists of 6 articles and 1 annex specifying the conditions to be satisfied in order to carry ou the aforementioned cooperation.",,Water | Agriculture,"DiÃ¡rio da RepÃºblica No. 221/80, Series I, 24 September 1980, pp. 2898-2902.",,,,,,,
%,GENG-1005,Exchange of Notes Between the United States and the Netherlands Related to the Agreement On The Resolution Of Practical Problems With Respect To Deep Seabed Mining Areas ,NLD,USA,1987-08-14,1988-10-19,NA,,IEA-4240,NA,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/NIU.htm,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DExchange%2520of%2520Notes%2520Between%2520the%2520United%2520States%2520and%2520the%2520Netherlands%2520Related%2520to%2520the%2520Agreement%2520On%2520The%2520Resolution%2520Of%2520Practical%2520Problems%2520With%2520Respect%2520To%2520Deep%2520Seabed%2520Mining%2520Areas%2520%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YkrnHqgUiGQDxp4NLYiktSQ6ThUa33MGs-liGjmh-9Ag,Yes,,,,,Not Yet Assigned,100,No known secretariat,NA,NA,Yes,NA,NA,,,Ocean,NA,NA,NA,NA,NA,NA,NA,,,,,,,
%,GENG-720,Agreement Between The Government Of Norway And The Government Of The Polish People's Republic On Fisheries Oslo,NOR,POL,1977-03-28,1977-09-06,NA,GFG-502,IEA-536,NA,,,Still in force | Listed under http://emeritus.lovdata.no/cgi-wift/udoffles?doc=tra-1977-03-28-001.txt&,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520Between%2520The%2520Government%2520Of%2520Norway%2520And%2520The%2520Government%2520Of%2520The%2520Polish%2520People%27s%2520Republic%2520On%2520Fisheries%2520Oslo%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yk7nHqgUiGQDxp4NLuJLiV9mc9tSX2W4KjvtS5J3KlfM,No,GENG-731,,,,,100,Secretariat not yet identified,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,,Fishing,,Fish,
%,GENG-731,"Proces-Verbal Between The Government Of Norway And The Government Of The Polish People's Republic Amending The Agreement Of March 28, 1977 On Fisheries",NOR,POL,1977-05-24,NA,NA,GFG-510,IEA-543,NA,,,Still in force | Listed under http://emeritus.lovdata.no/cgi-wift/udoffles?doc=tra-1977-03-28-001.txt&,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DProces-Verbal%2520Between%2520The%2520Government%2520Of%2520Norway%2520And%2520The%2520Government%2520Of%2520The%2520Polish%2520People%27s%2520Republic%2520Amending%2520The%2520Agreement%2520Of%2520March%252028%252C%25201977%2520On%2520Fisheries%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yk7nHqgUiGQDxp4NLuJLiV9mc9tSX2W4KjvtS5J3KlfM,No,,,GENG-720,,,100,Secretariat not yet identified,,,,,,,,Fisheries,,,,,,,,,Amendment,,Fishing,,Fish,
%,GENG-248,Agreement between the Royal Norwegian Government and the Government of the Union of Soviet Socialist Republics concerning the sea frontier between Norway and the USSR in the Varangerfjord,NOR,RUS,1957-02-15,1957-04-24,NA,,NA,TRE-149097,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/NOR.htm,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Royal%2520Norwegian%2520Government%2520and%2520the%2520Government%2520of%2520the%2520Union%2520of%2520Soviet%2520Socialist%2520Republics%2520concerning%2520the%2520sea%2520frontier%2520between%2520Norway%2520and%2520the%2520USSR%2520in%2520the%2520Varangerfjord%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YlrnHqgUiGQDxp4NLvVQ1y8FqPwBzbqatM4QwsDLMBRE,No,GENG-258,,,,NA,NA,NA,NA,Oslo,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149097.pdf,Norwegian | Russian,international agreement-text | maritime zone | territorial sea,NA,NA,OCEAN,NA,15/2/1957,FALSE,"The sea frontier between Norway and the Union of Soviet Socialist Republics in the Varangerfjord shall follow a straight line between specified points. Neither of the Contracting Parties shall extend its territorial waters beyond the straight line extending from other specified locations. The Parties shall establish, on a footing of equality, a Joint Soviet-Norwegian Boundary Commission, which shall calculate the geographical coordinates of the specified points.",Northern Europe | Eastern Europe,Sea,,,,,,,,
